Sr. No.,Symbol,ISIN,Security Name,Overall Permitted Qty. Across All Segments,Memberwise Permitted Qty for CM Segment,
286,HAL,INE066F01020,Hindustan Aeronautics Limited,37934515,N.A,
287,HAPPSTMNDS,INE419U01012,Happiest Minds Technologies Limited,16613921,N.A,
288,HAVELLS,INE176B01034,Havells India Limited,51020746,N.A,
289,HBLENGINE,INE292B01021,HBL Engineering Limited,22668527,N.A,
290,HCC,INE549A01026,Hindustan Construction Company Limited,436310976,N.A,
291,HCG,INE075I01017,Healthcare Global Enterprises Limited,10687338,N.A,
292,HCLTECH,INE860A01027,HCL Technologies Limited,210870039,N.A,
293,HDBFS,INE756I01012,HDB Financial Services Limited,42588724,N.A,
294,HDFCAMC,INE127D01025,HDFC Asset Management Company Limited,40858719,N.A,
295,HDFCBANK,INE040A01034,HDFC Bank Limited,2669986620,N.A,
296,HDFCLIFE,INE795G01014,HDFC Life Insurance Company Limited,214787486,N.A,
297,HEG,INE545A01024,HEG Limited,16873732,N.A,
298,HEMIPROP,INE0AJG01018,Hemisphere Properties India Limited,27860623,N.A,
299,HERITGFOOD,INE978A01027,Heritage Foods Limited,10893652,N.A,
300,HEROMOTOCO,INE158A01026,Hero MotoCorp Limited,26120319,N.A,
301,HEXT,INE093A01041,Hexaware Technologies Limited,31093660,N.A,
302,HFCL,INE548A01028,HFCL Limited,219443814,N.A,
303,HGINFRA,INE926X01010,H.G. Infra Engineering Limited,3678187,N.A,
304,HINDALCO,INE038A01020,Hindalco Industries Limited,291537861,N.A,
305,HINDCOPPER,INE531E01026,Hindustan Copper Limited,65482129,N.A,
306,HINDOILEXP,INE345A01011,Hindustan Oil Exploration Company Limited,26448658,N.A,
307,HINDPETRO,INE094A01015,Hindustan Petroleum Corporation Limited,191910891,N.A,
308,HINDUNILVR,INE030A01027,Hindustan Unilever Limited,179035681,N.A,
309,HINDZINC,INE267A01025,Hindustan Zinc Limited,332009529,N.A,
310,HITECH,INE106T01025,Hi-Tech Pipes Limited,22766493,N.A,
311,HOMEFIRST,INE481N01025,Home First Finance Company India Limited,19407920,N.A,
312,HONASA,INE0J5401028,Honasa Consumer Limited,41944279,N.A,
313,HONAUT,INE671A01010,Honeywell Automation India Limited,442076,N.A,
314,HSCL,INE019C01026,Himadri Speciality Chemical Limited,47936459,N.A,
315,HUDCO,INE031A01017,Housing & Urban Development Corporation Limited,100095000,N.A,
316,HYUNDAI,INE0V6F01027,Hyundai Motor India Limited,28438940,N.A,
317,ICICIAMC,INE346A01027,ICICI Prudential Asset Management Company Limited,12265733,N.A,
318,ICICIBANK,INE090A01021,ICICI Bank Limited,1432022514,N.A,
319,ICICIGI,INE765G01017,ICICI Lombard General Insurance Company Limited,48564316,N.A,
320,ICICIPRULI,INE726G01019,ICICI Prudential Life Insurance Company Limited,78831096,N.A,
321,IDBI,INE008A01015,IDBI Bank Limited,113685467,N.A,
322,IDEA,INE669E01016,Vodafone Idea Limited,16112391292,N.A,
323,IDFCFIRSTB,INE092T01019,IDFC First Bank Limited,1720339850,N.A,
324,IEX,INE022Q01020,Indian Energy Exchange Limited,177860058,N.A,
325,IFCI,INE039A01010,IFCI Limited,147807447,N.A,
326,IGIL,INE0Q9301021,International Gemological Institute Limited,20264779,N.A,
327,IGL,INE203G01027,Indraprastha Gas Limited,154000160,N.A,
328,IIFL,INE530B01024,IIFL Finance Limited,63922982,N.A,
329,IIFLCAPS,INE489L01022,IIFL Capital Services Limited,43057896,N.A,
330,IKS,INE115Q01022,Inventurus Knowledge Solutions Limited,11657264,N.A,
331,IMFA,INE919H01018,Indian Metals & Ferro Alloys Limited,4458079,N.A,
332,INDGN,INE065X01017,Indegene Limited,48180271,N.A,
