Sr. No.,Symbol,ISIN,Security Name,Overall Permitted Qty. Across All Segments,Memberwise Permitted Qty for CM Segment,
728,UJJIVANSFB,INE551W01018,Ujjivan Small Finance Bank Limited,389051158,N.A,
729,ULTRACEMCO,INE481G01011,UltraTech Cement Limited,23870862,N.A,
730,UNIONBANK,INE692A01016,Union Bank of India,385388951,N.A,
731,UNITDSPR,INE854D01024,United Spirits Limited,63025889,N.A,
732,UNOMINDA,INE405E01023,UNO Minda Limited,36532196,N.A,
733,UPL,INE628A01036,UPL Limited,112252035,N.A,
734,URBANCO,INE0CAZ01013,Urban Company Limited,233763621,N.A,
735,USHAMART,INE228A01035,Usha Martin Limited,35636928,N.A,
736,UTIAMC,INE094J01016,UTI Asset Management Company Limited,25704007,N.A,
737,V2RETAIL,INE945H01021,V2 Retail Limited,35417730,N.A,
738,VAIBHAVGBL,INE884A01027,Vaibhav Global Limited,14215495,N.A,
739,VAML,INE1CDF01017,Vedanta Aluminium Metal Limited,339857596,N.A,
740,VARROC,INE665L01035,Varroc Engineering Limited,7639320,N.A,
741,VBL,INE200M01039,Varun Beverages Limited,274415776,N.A,
742,VEDL,INE205A01025,Vedanta Limited,339986797,N.A,
743,VENKEYS,INE398A01010,Venky's (India) Limited,1236674,N.A,
744,VGUARD,INE951I01027,V-Guard Industries Limited,40862719,N.A,
745,VIJAYA,INE043W01024,Vijaya Diagnostic Centre Limited,9772714,N.A,
746,VIKRAMSOLR,INE078V01014,Vikram Solar Limited,26802249,N.A,
747,VIKRAN,INE01R501028,Vikran Engineering Limited,22557559,N.A,
748,VIMTALABS,INE579C01029,Vimta Labs Limited,5731075,N.A,
749,VINATIORGA,INE410B01037,Vinati Organics Limited,5332172,N.A,
750,VINCOFE,INE498Q01014,Vintage Coffee And Beverages Limited,19041776,N.A,
751,VIPIND,INE054A01027,VIP Industries Limited,16379441,N.A,
752,VISL,INE1CLE01013,Vedanta Iron and Steel Limited,339857596,N.A,
753,VIYASH,INE807F01027,Viyash Scientific Limited,33719645,N.A,
754,VMART,INE665J01013,V-Mart Retail Limited,8867453,N.A,
755,VMM,INE01EA01019,Vishal Mega Mart Limited,560279470,N.A,
756,VOGL,INE704J01044,Vedanta Oil and Gas Limited,339857596,N.A,
757,VOLTAMP,INE540H01012,Voltamp Transformers Limited,1416389,N.A,
758,VOLTAS,INE226A01021,Voltas Limited,46126252,N.A,
759,VSTIND,INE710A01016,VST Industries Limited,22983748,N.A,
760,VTL,INE825A01020,Vardhman Textiles Limited,20217335,N.A,
761,WAAREEENER,INE377N01017,Waaree Energies Limited,20641864,N.A,
762,WAAREERTL,INE299N01021,Waaree Renewable Technologies Limited,5359109,N.A,
763,WABAG,INE956G01038,VA Tech Wabag Limited,10082885,N.A,
764,WALCHANNAG,INE711A01022,Walchandnagar Industries Limited,9282223,N.A,
765,WELCORP,INE191B01025,Welspun Corp Limited,26503065,N.A,
766,WELENT,INE625G01013,Welspun Enterprises Limited,11583919,N.A,
767,WELSPUNLIV,INE192B01031,Welspun Living Limited,64095604,N.A,
768,WHIRLPOOL,INE716A01013,Whirlpool of India Limited,15284439,N.A,
769,WIPRO,INE075A01022,Wipro Limited,540569709,N.A,
770,WOCKPHARMA,INE049B01025,Wockhardt Limited,16546664,N.A,
771,YATHARTH,INE0JO301016,Yatharth Hospital & Trauma Care Services Limited,8518337,N.A,
772,YATRA,INE0JR601024,Yatra Online Limited,11719867,N.A,
773,YESBANK,INE528G01035,Yes Bank Limited,6275951411,N.A,
774,ZAGGLE,INE07K301024,Zaggle Prepaid Ocean Services Limited,15018331,N.A,
775,ZEEL,INE256A01028,Zee Entertainment Enterprises Limited,184440627,N.A,
776,ZENSARTECH,INE520A01027,Zensar Technologies Limited,23046791,N.A,
777,ZENTEC,INE251B01027,Zen Technologies Limited,9225487,N.A,
778,ZFCVINDIA,INE342J01019,ZF Commercial Vehicle Control Systems India Limited,9104440,N.A,
779,ZYDUSLIFE,INE010B01027,Zydus Lifesciences Limited,49846032,N.A,
780,ZYDUSWELL,INE768C01028,Zydus Wellness Limited,19321935,N.A,
781,SPICEJET,INE285B01017,Spicejet Ltd,231383319,N.A,
782,SELECTRIC,INE155D01018,Schneider Electric President Systems Ltd,626204,N.A,
783,NSDL,INE301O01023,National Securities Depository Ltd,40000000,N.A,
784,A1L,INE911Z01025,A-1 Ltd,27575192,N.A,
785,SHALPRO,INE435E01020,Shalimar Productions Ltd,184992159,N.A,
786,ALPHA,INF174KA1IA5,KOTAKMAMC-KOTAKALPHA,33505351,N.A,
787,ALPL30IETF,INF109KC17V7,ICICIPRAMC-ICICIALPLV,112830544,N.A,
788,AUTOBEES,INF204KC1337,NIPPONAMC-NETFAUTO,3276500,N.A,
789,AUTOIETF,INF109KC10V2,ICICIPRAMC-ICICIAUTO,15891024,N.A,
790,BANKBEES,INF204KB15I9,NIPINDETFBANKBEES,28008850,N.A,
791,BANKIETF,INF109KC15I8,ICICIPRAMC-IPRU5008,103308190,N.A,
792,BANKNIFTY1,INF174KA1ZB7,KOTAKMAMC-KOTAKBKETF,156968848,N.A,
793,BSLGOLDETF,INF209KB18D3,ABSLGoldETF-GO,45212656,N.A,
794,CONSUMBEES,INF204KA1LD7,NIPINDETFCONSUMPTION,3067023,N.A,
795,CPSEETF,INF457M01133,CPSEETF,411085286,N.A,
796,EBBETF0430,INF754K01KO2,EDELAMC-EBBETF0430,31294851,N.A,
797,EBBETF0431,INF754K01LE1,EDELAMC-EBBETF0431,18669618,N.A,
798,EBBETF0433,INF754K01QX0,EDELAMC-EBBETF0433,9675536,N.A,
799,FINIETF,INF109KC17L8,ICICIPRAMC-ICICIFIN,13352830,N.A,
800,FMCGIETF,INF109KC19V3,ICICIPRAMC-ICICIFMCG,29406876,N.A,
801,GOLD1,INF174KA1HJ8,KotakMutualFund-Gold,229526320,N.A,
802,GOLDADD,INF740KA1SW3,DSPAMC - DSPGOLD,34076455,N.A,
803,GOLDAXIS,INF846K01W80,AXISAMC-GOLDAXIS,87141440,N.A,
804,GOLDBEES,INF204KB17I5,NIPINDETFGOLDBEES,914007187,N.A,
805,GOLDBETA,INF789F1AUX7,UTIAMC -UTIGOLDBETA,68310085,N.A,
806,GOLDCASE,INF0R8F01042,ZERODHAAMC-GOLDCASE,207019298,N.A,
807,GOLDETF,INF769K01JP9,MIRAEAMC-MAGOLDETF,45466456,N.A,
808,GOLDIETF,INF109KC1NT3,ICICIPrudGoldETF,421853820,N.A,
809,GROWWGOLD,INF666M01OE7,GROWWAMC - GROWWGOLD,62752528,N.A,
810,HDFCGOLD,INF179KC1981,HDFCGoldETF,346212479,N.A,
811,HDFCNIFTY,INF179KC1965,HDFCAMC-HDFCNIFTY,36838902,N.A,
812,HDFCSILVER,INF179KC1DI2,HDFCAMC-HDFCSILVER,68630246,N.A,
813,HDFCSML250,INF179KC1FB2,HDFCAMC-HDFCSML250,27232340,N.A,
814,HEALTHIETF,INF109KC1Q72,ICICIPRAMC-ICICIPHARM,2734242,N.A,
815,HNGSNGBEES,INF204KB19I1,NIPINDETFHANGSENGBEES,4717336,N.A,
816,ICICIB22,INF109KB15Y7,ICICIPRAMC-BHARATIWIN,175586827,N.A,
817,ITBEES,INF204KB15V2,NIPINDETFIT,244163367,N.A,
818,ITIETF,INF109KC16I6,ICICIPRAMC-ICICITECH,35642032,N.A,
819,JUNIORBEES,INF732E01045,NIP IND ETF JUNIOR BEES,21802438,N.A,
820,LOWVOLIETF,INF109KC19U5,ICICIPruNiftyLowvol30,312486910,N.A,
821,MAFANG,INF769K01HF4,MIRAEAMC-MAFANG,49460719,N.A,
822,METAL,INF769K01LY7,MIRAEAMC - METAL,83211479,N.A,
823,METALIETF,INF109KC19W1,ICICIPRAMC - METALIETF,151926285,N.A,
824,MID150BEES,INF204KB1V68,NIPINDETFMIDCAP150,30988057,N.A,
825,MID150CASE,INF0R8F01059,ZERODHAAMC-MID150CASE,44556420,N.A,
826,MIDCAPETF,INF769K01IC9,MIRAEAMC-MAM150ETF,157303541,N.A,
827,MIDCAPIETF,INF109KC11W8,ICICIPRAMC-ICICIM150,65166478,N.A,
828,MOCAPITAL,INF247L01EV3,MOTILALAMC - MOCAPITAL,8850000,N.A,
829,MODEFENCE,INF247L01DJ0,MOTILALAMC - MODEFENCE,25830000,N.A,
830,MOM100,INF247L01023,MotilalOsMidcap100ETF,26605783,N.A,
831,MOM30IETF,INF109KC17C7,ICICIPRAMC-ICICIMOM30,39528593,N.A,
832,MOMENTUM50,INF247L01DK8,MOTILALAMC - MOMENTUM50,14917052,N.A,
833,MON100,INF247L01AP3,MotilalOsNASDAQ100ETF,100826948,N.A,
834,MOREALTY,INF247L01CI4,MOTILALAMC-MOREALTY,5800000,N.A,
835,MOSMALL250,INF247L01CH6,MOTILALAMC-MOSMALL250,27560000,N.A,
836,NEXT50IETF,INF109KC1NS5,ICICIPRAMC-ICICINXT50,70483186,N.A,
837,NIFTY1,INF174K014P6,KotakNiftyETF,26155426,N.A,
838,NIFTYBEES,INF204KB14I2,NIPINDETFNIFTYBEES,477553277,N.A,
839,NIFTYBETA,INF789F1AZC0,UTIAMC-NIFTYBETA,540520500,N.A,
840,NIFTYETF,INF769K01EG9,MIRAEAMC-MAN50ETF,40314137,N.A,
841,NIFTYIETF,INF109K012R6,ICICIPruNiftyETF,315653534,N.A,
842,NV20IETF,INF109KC11V0,ICICIPruNV20ETF,26295606,N.A,
843,OILIETF,INF109KC18W3,ICICIPRAMC - OILIETF,53715644,N.A,
844,PHARMABEES,INF204KC1089,NIPPONAMC-NETFPHARMA,124496542,N.A,
845,PSUBNKBEES,INF204KB16I7,NIPINDETFPSUBANKBEES,86155086,N.A,
846,PVTBANIETF,INF109KC18U7,ICICIPRAMC-ICICIBANKP,292897988,N.A,
847,QGOLDHALF,INF082J01408,QuantumGoldFund-Exchan,12031990,N.A,
848,SBISILVER,INF200KB1217,SBIAMC - SBISILVER,52920221,N.A,
849,SETFGOLD,INF200KA16D8,SBI-ETFGold,401842560,N.A,
850,SETFNIF50,INF200KA1FS1,SBI-ETFNifty50,1643370728,N.A,
851,SETFNIFBK,INF200KA1580,SBI-ETFNiftyBank,12483961,N.A,
852,SETFNN50,INF200KA1598,SBI-ETFNiftyNext50,7720506,N.A,
853,SILVER,INF209KB19F6,BIRLASLAMC-SILVER,26318583,N.A,
854,SILVERADD,INF740KA1RE3,DSPAMC-DSPSILVETF,13296061,N.A,
855,SILVERAG,INF769K01KG6,MIRAEAMC-MASILVER,10518613,N.A,
856,SILVERBEES,INF204KC1402,NIPPONAMC-SILVERBEES,283875902,N.A,
857,SILVERBETA,INF789F1AYK6,UTIAMC-SILVERBETA,12668609,N.A,
858,SILVERCASE,INF0R8F01091,ZERODHAAMC - SILVERCASE,102799329,N.A,
859,SILVERIETF,INF109KC1Y56,ICICIPRAMC-ICICISILVE,125297896,N.A,
860,SMALLCAP,INF769K01LC3,MIRAEAMC-SMALLCAP,40035661,N.A,
861,TATAGOLD,INF277KA1976,TATAAML-TATAGOLD,832785837,N.A,
862,TATSILV,INF277KA1984,TATAAML-TATSILV,500390447,N.A,
863,SENSEXBEES,INF204KA1UN7,Nippon India ETF S&P BSE Sensex,62706263,N.A,
864,ABSLLIQUID,INF209KB18T9,BIRLASLAMC-ABSLLIQUID,199188,N.A,5%
865,AONELIQUID,INF1J2R01056,AONEAMC - AONELIQUID,1400107,N.A,5%
866,CASHIETF,INF109K1A021,ICICIPRAMC - CASHIETF,4430189,N.A,5%
867,ELIQUID,INF754K01VW2,EDELAMC - ELIQUID,299705,N.A,5%
868,GILT5YBEES,INF204KC1030,RELCAPAMC-NETFGILT5Y,7971038,N.A,10%
869,GROWWLIQID,INF666M01IP5,GROWWAMC - GROWWLIQID,6587800,N.A,5%
870,HDFCLIQUID,INF179KC1JG3,HDFCAMC-HDFCLIQUID,352601,N.A,5%
871,LICNETFGSC,INF767K01MV5,LICNAMC-LICNMFET,130574703,N.A,10%
872,LIQGRWBEES,INF204KC1FU1,NIPPONAMC - LIQGRWBEES,612703,N.A,5%
873,LIQUID,INF769K01KS1,MIRAEAMC-LIQUID,2645160,N.A,5%
874,LIQUID1,INF174KA1LV5,KOTAKMAMC-KOTAKLIQ,11400296,N.A,5%
875,LIQUIDADD,INF740KA1UM0,DSPAMC-LIQUIDADD,6913320,N.A,5%
876,LIQUIDBEES,INF732E01037,NIPINDETFLIQUIDBEES,56725192,N.A,5%
877,LIQUIDBETF,INF0QA701854,BFAM-LIQUIDBETF,3061458,N.A,5%
878,LIQUIDCASE,INF0R8F01034,ZERODHAAMC-LIQUIDCASE,436783313,N.A,5%
879,LIQUIDETF,INF740KA1EU7,DSPAMC-LIQUIDETF,3498662,N.A,5%
880,LIQUIDIETF,INF109KC1KT9,ICICIPRAMC-ICICILIQ,6128741,N.A,5%
881,LIQUIDPLUS,INF769K01MY5,MIRAEAMC - LIQUIDPLUS,4633425,N.A,5%
882,LIQUIDSBI,INF200KA13Z8,SBIAMC-LIQUIDSBI,247411,N.A,5%
883,LIQUIDSHRI,INF680P01422,SHRIRAM - LIQUIDSHRI,167952,N.A,5%
884,LTGILTBEES,INF204KB1882,NIPINDETFLONGTERMGILT,164653592,N.A,10%
885,LTGILTCASE,INF0R8F01133,ZERODHAAMC - LTGILTCASE,7640219,N.A,10%
886,SBILIQETF,INF200KB1969,SBIAMC - SBILIQETF,300494,N.A,5%
